t_B	S_xz
0	-0.0905993
0.0001	3.23648
0.0002	6.03805
0.0003	8.40495
0.0004	10.4297
0.0005	12.1192
0.0006	13.61
0.0007	14.9294
0.0008	16.1138
0.0009	17.1631
0.001	18.0949
0.0011	18.9227
0.0012	19.6766
0.0013	20.3604
0.0014	20.9634
0.0015	21.5327
0.0016	22.0636
0.0017	22.5546
0.0018	23.0078
0.0019	23.4189
0.002	23.7964
0.0021	24.1615
0.0022	24.493
0.0023	24.8153
0.0024	25.12
0.0025	25.3879
0.0026	25.6427
0.0027	25.8804
0.0028	26.0929
0.0029	26.2853
0.003	26.4603
0.0031	26.623
0.0032	26.78
0.0033	26.9245
0.0034	27.0511
0.0035	27.1646
0.0036	27.2637
0.0037	27.3438
0.0038	27.4095
0.0039	27.4629
0.004	27.499
0.0041	27.5213
0.0042	27.5283
0.0043	27.5128
0.0044	27.4697
0.0045	27.4072
0.0046	27.3177
0.0047	27.2026
0.0048	27.0584
0.0049	26.8829
0.005	26.682
0.0051	26.4527
0.0052	26.187
0.0053	25.8931
0.0054	25.5653
0.0055	25.2105
0.0056	24.8266
0.0057	24.419
0.0058	23.9884
0.0059	23.5361
0.006	23.0685
0.0061	22.5909
0.0062	22.1126
0.0063	21.6423
0.0064	21.1867
0.0065	20.7482
0.0066	20.336
0.0067	19.9552
0.0068	19.608
0.0069	19.2956
0.007	19.0183
0.0071	18.7832
0.0072	18.5868
0.0073	18.4274
0.0074	18.3024
0.0075	18.21
0.0076	18.1504
0.0077	18.1127
0.0078	18.1005
0.0079	18.1081
0.008	18.1358
0.0081	18.1815
0.0082	18.2391
0.0083	18.3112
0.0084	18.3912
0.0085	18.4775
0.0086	18.5702
0.0087	18.6661
0.0088	18.7633
0.0089	18.8618
0.009	18.9618
0.0091	19.0613
0.0092	19.1604
0.0093	19.2545
0.0094	19.3482
0.0095	19.4403
0.0096	19.5289
0.0097	19.6133
0.0098	19.6924
0.0099	19.7642
0.01	19.8294
0.0101	19.89
0.0102	19.9436
0.0103	19.9872
0.0104	20.0231
0.0105	20.0502
0.0106	20.0695
0.0107	20.078
0.0108	20.0757
0.0109	20.0644
0.011	20.0448
0.0111	20.0143
0.0112	19.9729
0.0113	19.9161
0.0114	19.8488
0.0115	19.7693
0.0116	19.6762
0.0117	19.5699
0.0118	19.4525
0.0119	19.326
0.012	19.1906
0.0121	19.0444
0.0122	18.8937
0.0123	18.738
0.0124	18.5821
0.0125	18.4273
0.0126	18.2761
0.0127	18.1292
0.0128	17.9862
0.0129	17.85
0.013	17.72
0.0131	17.5988
0.0132	17.4877
0.0133	17.3866
0.0134	17.298
0.0135	17.2188
0.0136	17.1482
0.0137	17.0883
0.0138	17.0395
0.0139	17.0006
0.014	16.9728
0.0141	16.9544
0.0142	16.9449
0.0143	16.943
0.0144	16.9476
0.0145	16.9587
0.0146	16.9771
0.0147	17.0006
0.0148	17.0277
0.0149	17.0587
0.015	17.093
0.0151	17.1291
0.0152	17.1675
0.0153	17.2034
0.0154	17.2378
0.0155	17.2707
0.0156	17.3019
0.0157	17.3304
0.0158	17.3563
0.0159	17.3787
0.016	17.3964
0.0161	17.4116
0.0162	17.4233
0.0163	17.4311
0.0164	17.4331
0.0165	17.4305
0.0166	17.4245
0.0167	17.4137
0.0168	17.3985
0.0169	17.3777
0.017	17.3534
0.0171	17.3256
0.0172	17.2933
0.0173	17.2568
0.0174	17.2159
0.0175	17.1709
0.0176	17.122
0.0177	17.0692
0.0178	17.0111
0.0179	16.9492
0.018	16.8832
0.0181	16.8144
0.0182	16.743
0.0183	16.6699
0.0184	16.5966
0.0185	16.5231
0.0186	16.4496
0.0187	16.3768
0.0188	16.3056
0.0189	16.2356
0.019	16.1679
0.0191	16.1049
0.0192	16.0455
0.0193	15.991
0.0194	15.9424
0.0195	15.8994
0.0196	15.8618
0.0197	15.8295
0.0198	15.8026
0.0199	15.7812
0.02	15.7646
0.0201	15.7512
0.0202	15.7419
0.0203	15.7372
0.0204	15.7354
0.0205	15.7359
0.0206	15.7382
0.0207	15.7407
0.0208	15.7456
0.0209	15.7491
0.021	15.7523
0.0211	15.7561
0.0212	15.76
0.0213	15.7616
0.0214	15.7616
0.0215	15.7608
0.0216	15.7598
0.0217	15.7577
0.0218	15.7563
0.0219	15.7539
0.022	15.7494
0.0221	15.7447
0.0222	15.7397
0.0223	15.734
0.0224	15.7284
0.0225	15.7212
0.0226	15.7118
0.0227	15.6995
0.0228	15.6849
0.0229	15.6691
0.023	15.6501
0.0231	15.6276
0.0232	15.603
0.0233	15.575
0.0234	15.5438
0.0235	15.5107
0.0236	15.4754
0.0237	15.438
0.0238	15.4
0.0239	15.3606
0.024	15.3212
0.0241	15.2822
0.0242	15.2444
0.0243	15.2067
0.0244	15.1708
0.0245	15.1358
0.0246	15.1017
0.0247	15.0688
0.0248	15.0379
0.0249	15.0087
0.025	14.981
0.0251	14.9544
0.0252	14.9297
0.0253	14.9063
0.0254	14.8845
0.0255	14.8635
0.0256	14.8436
0.0257	14.8262
0.0258	14.8096
0.0259	14.7938
0.026	14.7796
0.0261	14.7665
0.0262	14.7543
0.0263	14.7426
0.0264	14.732
0.0265	14.7225
0.0266	14.7147
0.0267	14.7084
0.0268	14.7021
0.0269	14.6968
0.027	14.6921
0.0271	14.6866
0.0272	14.6817
0.0273	14.6766
0.0274	14.6726
0.0275	14.6692
0.0276	14.6657
0.0277	14.6618
0.0278	14.6563
0.0279	14.6491
0.028	14.6417
0.0281	14.6336
0.0282	14.6237
0.0283	14.6121
0.0284	14.5982
0.0285	14.5834
0.0286	14.567
0.0287	14.5497
0.0288	14.5316
0.0289	14.5119
0.029	14.4912
0.0291	14.4695
0.0292	14.4471
0.0293	14.4231
0.0294	14.3981
0.0295	14.373
0.0296	14.3478
0.0297	14.3216
0.0298	14.2947
0.0299	14.2682
0.03	14.2427
0.0301	14.217
0.0302	14.1916
0.0303	14.1654
0.0304	14.1401
0.0305	14.1158
0.0306	14.0923
0.0307	14.0711
0.0308	14.0507
0.0309	14.0318
0.031	14.0142
0.0311	13.9987
0.0312	13.9848
0.0313	13.9707
0.0314	13.9574
0.0315	13.9456
0.0316	13.9355
0.0317	13.926
0.0318	13.918
0.0319	13.912
0.032	13.9073
0.0321	13.9034
0.0322	13.9003
0.0323	13.8977
0.0324	13.8946
0.0325	13.8913
0.0326	13.8876
0.0327	13.8846
0.0328	13.881
0.0329	13.8765
0.033	13.8712
0.0331	13.8649
0.0332	13.8583
0.0333	13.8512
0.0334	13.8438
0.0335	13.8362
0.0336	13.8283
0.0337	13.8202
0.0338	13.8114
0.0339	13.8019
0.034	13.7927
0.0341	13.783
0.0342	13.7722
0.0343	13.7611
0.0344	13.7491
0.0345	13.7362
0.0346	13.7226
0.0347	13.7077
0.0348	13.6925
0.0349	13.6763
0.035	13.6591
0.0351	13.6416
0.0352	13.6232
0.0353	13.603
0.0354	13.5826
0.0355	13.5615
0.0356	13.5398
0.0357	13.5184
0.0358	13.497
0.0359	13.4757
0.036	13.4555
0.0361	13.4365
0.0362	13.4182
0.0363	13.4009
0.0364	13.3857
0.0365	13.3713
0.0366	13.3582
0.0367	13.3471
0.0368	13.3385
0.0369	13.3311
0.037	13.3251
0.0371	13.3202
0.0372	13.3161
0.0373	13.3121
0.0374	13.3076
0.0375	13.3036
